"Bloco Informal","Partido","Qtd Deputados","Peso no Bloco (%)"
"1","PL",77,60.15625
"1","PSOL",13,10.15625
"1","UNIÃO",10,7.8125
"1","PP",6,4.6875
"2","MDB",36,27.27272727272727
"2","REPUBLICANOS",36,27.27272727272727
"2","PSD",24,18.181818181818183
"2","PODE",9,6.8181818181818175
"3","PT",59,44.696969696969695
"3","PDT",17,12.878787878787879
"3","PSB",14,10.606060606060606
"3","PSD",12,9.090909090909092
"4","UNIÃO",46,33.33333333333333
"4","PP",36,26.08695652173913
"4","PL",17,12.318840579710146
"4","PSD",8,5.797101449275362
