"deputado","partido","uf","voto_2357053-122","voto_2357053-119","voto_2357053-110","voto_2357053-108","voto_2357053-105","voto_2357053-70","voto_2357053-65","voto_2357053-62","voto_2357053-59","voto_2357053-53","voto_2357053-50","voto_2357053-47","voto_2357053-38","voto_2357053-30","voto_2362292-8"
"Luiza Erundina","PSOL","SP",0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nely Aquino","PODE","MG",1,1,0,1,1,0,1,1,1,1,0,1,1,0,1
"Sóstenes Cavalcante","PL","RJ",1,0,NA,0,0,NA,0,0,0,1,NA,1,NA,NA,0
"Luiz Philippe de Orleans e Bragança","PL","SP",0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
"Marcelo Álvaro Antônio","PL","MG",0,0,0,0,0,NA,NA,0,0,1,1,0,0,NA,0
"Cristiane Lopes","UNIÃO","RO",0,1,0,1,1,1,0,1,0,1,0,1,1,NA,0
"Sargento Fahur","PSD","PR",1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"Delegado Ramagem","PL","RJ",0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"Amom Mandel","CIDADANIA","AM",1,1,NA,1,1,1,0,1,0,NA,NA,1,1,0,1
"Helio Lopes","PL","RJ",1,0,0,NA,NA,1,0,0,NA,1,1,0,0,NA,0
"Rosângela Reis","PL","MG",1,0,0,1,1,0,1,1,1,1,0,1,1,0,1
"Patrus Ananias","PT","MG",0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bibo Nunes","PL","RS",1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
"Kiko Celeguim","PT","SP",0,1,0,1,1,0,1,1,1,NA,0,1,1,0,1
"Talíria Petrone","PSOL","RJ",0,1,1,1,1,0,1,0,1,0,0,0,1,1,0
"Vander Loubet","PT","MS",0,1,0,1,1,0,1,1,1,1,0,1,1,NA,1
"Jorge Goetten","PL","SC",1,NA,0,1,0,1,0,0,0,0,0,1,1,0,1
"Simone Marquetto","MDB","SP",1,0,0,1,1,0,1,0,1,1,0,1,1,NA,1
"Maria do Rosário","PT","RS",0,1,1,1,1,0,1,1,1,1,0,1,1,0,1
"Ivoneide Caetano","PT","BA",0,1,0,1,1,0,1,1,1,1,0,1,1,0,1
"Luiz Lima","PL","RJ",0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"Bruno Ganem","PODE","SP",1,1,0,1,1,0,1,1,1,1,0,1,1,0,1
"Eros Biondini","PL","MG",1,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,0
"Lucio Mosquini","MDB","RO",1,0,0,1,1,0,1,0,1,NA,NA,1,1,0,1
"Amanda Gentil","PP","MA",0,0,0,1,1,0,1,1,1,1,0,1,1,0,1
"Capitão Augusto","PL","SP",1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
"Daniel Barbosa","PP","AL",0,1,0,1,1,0,1,1,1,1,NA,1,1,NA,1
"Luiz Fernando Faria","PSD","MG",1,0,NA,1,1,0,1,0,1,1,0,1,1,0,1
"Aureo Ribeiro","SOLIDARIEDADE","RJ",0,0,0,1,1,NA,1,1,NA,1,0,1,1,0,1
"Helder Salomão","PT","ES",0,1,0,1,1,0,1,1,1,NA,0,1,1,0,1
"Delegado Caveira","PL","PA",0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"Gabriel Nunes","PSD","BA",1,1,0,1,1,0,1,1,1,1,0,1,1,0,1
"Leônidas Cristino","PDT","CE",0,1,0,1,1,0,1,1,1,1,0,1,1,0,1
"Josivaldo JP","PSD","MA",1,1,0,NA,NA,0,1,0,1,1,0,1,1,0,1
"Sanderson","PL","RS",0,NA,0,0,0,1,0,0,0,1,1,0,0,1,0
"Andreia Siqueira","MDB","PA",1,1,0,1,1,0,1,1,1,1,NA,1,1,0,1
"Ana Paula Leão","PP","MG",0,0,0,NA,1,0,0,1,0,1,0,1,1,0,1
"Luis Tibé","AVANTE","MG",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Abilio Brunini","PL","MT",1,NA,0,0,0,1,0,0,0,0,1,0,0,1,0
"André Janones","AVANTE","MG",0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Luciano Alves","PSD","PR",0,0,0,1,1,0,1,0,1,1,0,1,1,0,1
"Sargento Gonçalves","PL","RN",0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"Dra. Alessandra Haber","MDB","PA",1,1,0,1,1,0,1,0,1,1,NA,1,1,0,1
"Castro Neto","PSD","PI",0,1,0,1,1,0,1,1,1,1,0,1,1,0,1
"Pedro Lucas Fernandes","UNIÃO","MA",0,0,0,1,1,0,0,1,1,1,0,1,1,0,1
"Luciano Vieira","PL","RJ",1,0,0,1,1,0,1,0,0,1,0,1,1,0,1
"General Girão","PL","RN",1,NA,0,1,0,1,0,0,0,1,1,0,0,NA,0
"Clarissa Tércio","PP","PE",0,0,0,NA,NA,1,0,1,0,1,1,0,0,1,0
