"deputado","partido","uf","bloco_informal","articulacao","total_aliados"
"Luiza Erundina","PSOL","SP","1",0.003334584785044481,28
"Nely Aquino","PODE","MG","2",2.217027601756326e-4,299
"Sóstenes Cavalcante","PL","RJ","1",1.3177912340551587e-4,10
"Luiz Philippe de Orleans e Bragança","PL","SP","1",2.3006708099112324e-5,45
"Marcelo Álvaro Antônio","PL","MG","1",6.519692082300354e-6,40
"Cristiane Lopes","UNIÃO","RO","3",3.7539961262479025e-4,18
"Sargento Fahur","PSD","PR","1",3.4467707593793855e-4,63
"Delegado Ramagem","PL","RJ","1",1.2083361042975542e-4,64
"Amom Mandel","CIDADANIA","AM","4",1.4642310224871993e-4,28
"Helio Lopes","PL","RJ","1",0.001185610615705989,44
"Rosângela Reis","PL","MG","2",2.868236319558416e-4,301
"Patrus Ananias","PT","MG","3",0.0012603176615508355,140
"Bibo Nunes","PL","RS","1",2.1767515928134738e-4,42
"Kiko Celeguim","PT","SP","3",3.2768716609952905e-4,282
"Talíria Petrone","PSOL","RJ","1",6.760898014455971e-6,15
"Vander Loubet","PT","MS","3",1.2612683703758332e-4,307
"Jorge Goetten","PL","SC","4",1.2475764910507557e-5,10
"Simone Marquetto","MDB","SP","2",0.0010229764235942052,184
"Maria do Rosário","PT","RS","3",9.663135054631192e-4,230
"Ivoneide Caetano","PT","BA","3",1.2612683703758332e-4,307
"Luiz Lima","PL","RJ","1",1.2083361042975542e-4,64
"Bruno Ganem","PODE","SP","2",2.217027601756326e-4,299
"Eros Biondini","PL","MG","1",9.560307321196994e-6,23
"Lucio Mosquini","MDB","RO","2",8.200407659558156e-4,137
"Amanda Gentil","PP","MA","4",9.438672394705252e-5,301
"Capitão Augusto","PL","SP","1",2.1767515928134738e-4,42
"Daniel Barbosa","PP","AL","3",1.2612683703758332e-4,307
"Luiz Fernando Faria","PSD","MG","2",9.130525527071268e-4,183
"Aureo Ribeiro","SOLIDARIEDADE","RJ","4",6.50495646539061e-4,300
"Helder Salomão","PT","ES","3",3.2768716609952905e-4,282
"Delegado Caveira","PL","PA","1",1.2083361042975542e-4,64
"Gabriel Nunes","PSD","BA","2",2.217027601756326e-4,299
"Leônidas Cristino","PDT","CE","3",1.2612683703758332e-4,307
"Josivaldo JP","PSD","MA","2",8.365043215611917e-5,108
"Sanderson","PL","RS","1",1.2083361042975542e-4,64
"Andreia Siqueira","MDB","PA","2",2.217027601756326e-4,299
"Ana Paula Leão","PP","MG","4",7.44075579355421e-5,63
"Luis Tibé","AVANTE","MG","4",3.462072886615559e-4,157
"Abilio Brunini","PL","MT","1",2.0434783996780888e-5,14
"André Janones","AVANTE","MG","3",3.2220874736638735e-4,166
"Luciano Alves","PSD","PR","4",0.0017440065408424299,225
"Sargento Gonçalves","PL","RN","1",1.2083361042975542e-4,64
"Dra. Alessandra Haber","MDB","PA","2",8.495980419423582e-4,236
"Castro Neto","PSD","PI","3",1.2612683703758332e-4,307
"Pedro Lucas Fernandes","UNIÃO","MA","4",3.883222087070261e-4,230
"Luciano Vieira","PL","RJ","2",5.953548555785546e-4,76
"General Girão","PL","RN","1",0.006902842432130611,37
"Clarissa Tércio","PP","PE","1",0.015127614125727239,57
"Márcio Biolchi","MDB","RS","2",9.856971799324992e-4,273
"Pastor Eurico","PL","PE","1",6.519692082300354e-6,40
"Bia Kicis","PL","DF","1",2.1767515928134738e-4,42
"Paulo Abi-Ackel","PSDB","MG","4",0.002384303103873266,142
"Marcelo Moraes","PL","RS","1",9.927505049653672e-5,41
"Gustavo Gayer","PL","GO","1",9.071149164962477e-4,67
"Messias Donato","REPUBLICANOS","ES","1",0.021512077999026935,40
"Dani Cunha","UNIÃO","RJ","4",1.6968005315643122e-5,63
"Antonio Carlos Rodrigues","PL","SP","2",2.868236319558416e-4,301
"Jorge Solla","PT","BA","3",1.2612683703758332e-4,307
"Dorinaldo Malafaia","PDT","AP","3",1.2612683703758332e-4,307
"Nicoletti","UNIÃO","RR","1",2.3006708099112324e-5,45
"Marcos Soares","UNIÃO","RJ","4",0.0011036726208847884,20
"Albuquerque","REPUBLICANOS","RR","2",5.94562189046342e-4,269
"Augusto Puppio","MDB","AP","2",2.7400702806052525e-4,223
"Laura Carneiro","PSD","RJ","2",9.18920530176582e-4,279
"Professor Alcides","PL","GO","1",2.1767515928134738e-4,42
"Júnior Ferrari","PSD","PA","4",7.704053139726615e-4,112
"Maria Arraes","SOLIDARIEDADE","PE","2",2.217027601756326e-4,299
"Marcelo Lima","PSB","SP","3",1.857758783732506e-4,327
"Benedita da Silva","PT","RJ","3",1.2612683703758332e-4,307
"Chico Alencar","PSOL","RJ","1",6.760898014455971e-6,15
"Joaquim Passarinho","PL","PA","1",0.001959236659328592,25
"Alfredo Gaspar","UNIÃO","AL","1",4.3110814480900556e-5,15
"Arthur Oliveira Maia","UNIÃO","BA","3",6.283135681296476e-4,234
"Antonio Brito","PSD","BA","2",0.0019570573681800727,257
"Delegado Marcelo Freitas","UNIÃO","MG","4",1.1124039073555346e-5,137
"Beto Richa","PSDB","PR","4",3.883222087070261e-4,230
"Waldemar Oliveira","AVANTE","PE","4",9.438672394705252e-5,301
"Dagoberto Nogueira","PSDB","MS","4",9.438672394705252e-5,301
"José Medeiros","PL","MT","1",6.546561494335726e-5,39
"Adriana Ventura","NOVO","SP","1",2.3006708099112324e-5,45
"Renilce Nicodemos","MDB","PA","2",0.0014836901657413698,222
"Pastor Sargento Isidório","AVANTE","BA","2",2.868236319558416e-4,301
"Tabata Amaral","PSB","SP","3",1.2612683703758332e-4,307
"Bohn Gass","PT","RS","3",1.2612683703758332e-4,307
"Átila Lira","PP","PI","4",9.438672394705252e-5,301
"Carlos Jordy","PL","RJ","1",1.2083361042975542e-4,64
"Paulinho Freire","UNIÃO","RN","4",1.5449957019471314e-5,40
"Rosangela Moro","UNIÃO","SP","1",0.005083920490347712,12
"Marx Beltrão","PP","AL","4",9.438672394705252e-5,301
"Marcos Pollon","PL","MS","1",1.2083361042975542e-4,64
"Robinson Faria","PL","RN","4",4.2938685241008224e-5,31
"Delegada Katarina","PSD","SE","2",0.003052015251380374,280
